Day,Lab Test,Confirmed case,Death Case
2020-06-03,12510,2695,37
2020-06-04,12694,2423,35
2020-06-05,14088,2828,30
2020-06-06,12486,2635,35
2020-06-07,13136,2743,42
2020-06-08,12944,2735,42
2020-06-09,14668,3171,45
2020-06-10,15965,3190,37
2020-06-11,15772,3187,37
2020-06-12,15990,3471,46
2020-06-13,16638,2856,44
2020-06-14,14505,3141,32
2020-06-15,15038,3099,38
2020-06-16,17214,3862,53
2020-06-17,17527,4008,43
2020-06-18,16259,3803,38
2020-06-19,15045,3243,45
2020-06-20,14031,3240,37
2020-06-21,15585,3531,39
2020-06-22,15555,3480,38
2020-06-23,16292,3412,43
2020-06-24,16433,3462,37
2020-06-25,17999,3946,39
2020-06-26,18498,3868,40
2020-06-27,15157,3504,34
2020-06-28,18099,3809,43
2020-06-29,17837,4014,45
2020-06-30,18426,3682,64
2020-05-01,5573,571,2
2020-05-02,5827,552,5
2020-05-03,5368,665,2
2020-05-04,6260,688,5
2020-05-05,5711,786,1
2020-05-06,6241,790,3
2020-05-07,5867,706,13
2020-05-08,5941,709,7
2020-05-09,5465,636,8
2020-05-10,5638,887,14
2020-05-11,7208,1034,11
2020-05-12,6773,969,11
2020-05-13,7900,1162,19
2020-05-14,7392,1041,14
2020-05-15,8582,1202,15
2020-05-16,6782,930,16
2020-05-17,8184,1273,14
2020-05-18,9788,1602,21
2020-05-19,8449,1251,21
2020-05-20,10207,1617,16
2020-05-21,10262,1773,22
2020-05-22,9727,1694,24
2020-05-23,10834,1873,20
2020-05-24,8908,1532,28
2020-05-25,9451,1975,21
2020-05-26,5407,1166,21
2020-05-27,8015,1541,22
2020-05-28,9310,2029,15
2020-05-29,11301,2523,23
2020-05-30,9987,1764,28
2020-05-31,11876,2545,40
2020-11-01,12549,1568,18
2020-11-02,12891,1736,25
2020-11-03,14061,1659,17
2020-11-04,13914,1517,21
2020-11-05,15225,1842,17
2020-11-06,13521,1469,15
2020-11-07,11419,1289,13
2020-11-08,12760,1474,18
2020-11-09,14042,1683,25
2020-11-10,13520,1699,16
2020-11-11,14524,1733,19
2020-11-12,17112,1845,13
2020-11-13,13539,1767,19
2020-11-14,11795,1531,14
2020-11-15,14060,1837,21
2020-11-16,15768,2139,21
2020-11-17,15990,2212,39
2020-11-18,16469,2111,21
2020-11-19,17531,2364,30
2020-11-20,15607,2275,17
2020-11-21,12643,1847,28
2020-11-22,13870,2060,38
2020-11-23,16059,2419,28
2020-11-24,15018,2230,32
2020-11-25,16001,2156,39
2020-11-26,17052,2292,37
2020-11-27,16378,2273,20
2020-11-28,14012,1908,36
2020-11-29,13737,1788,29
2020-11-30,15372,2525,35
2020-10-01,11420,1508,21
2020-10-02,11176,1396,33
2020-10-03,9554,1182,20
2020-10-04,9859,1125,23
2020-10-05,11767,1442,27
2020-10-06,12345,1499,30
2020-10-07,13032,1520,35
2020-10-08,12605,1441,20
2020-10-09,11256,1278,17
2020-10-10,10859,1203,23
2020-10-11,9467,1193,24
2020-10-12,13227,1472,31
2020-10-13,13815,1537,22
2020-10-14,14411,1684,16
2020-10-15,14104,1600,15
2020-10-16,13577,1527,15
2020-10-17,11573,1209,23
2020-10-18,11866,1274,14
